date	n_day	treatment	sample	tot_length	tot_area	Area_Efficiency
11/06/25	1	WW_NOI	1	0	0	0
11/06/25	1	WW_NOI	2	10.60433295	8.101430429	1.308945753
11/06/25	1	WW_NOI	3	17.44583808	12.48374512	1.397484322
11/06/25	1	WW_NOI	4	11.74458381	13.64109233	0.86097092
11/06/25	1	WW_NOI	5	34.43557583	33.05591678	1.041737129
11/06/25	1	WW_NOI	6	0	0	0
11/06/25	1	WW_MIX1	1	0	0	0
11/06/25	1	WW_MIX1	2	9.92018244	7.451235371	1.331347347
11/06/25	1	WW_MIX1	3	0	0	0
11/06/25	1	WW_MIX1	4	8.89395667	6.77503251	1.312754833
11/06/25	1	WW_MIX1	5	13.45496009	11.59947984	1.159962367
11/06/25	1	WW_MIX1	6	12.65678449	9.544863459	1.326030964
11/06/25	1	WW_MIXR	1	24.51539339	14.61638492	1.677254227
11/06/25	1	WW_MIXR	2	0	0	0
11/06/25	1	WW_MIXR	3	25.08551881	20.33810143	1.233424806
11/06/25	1	WW_MIXR	4	10.94640821	9.102730819	1.202541131
11/06/25	1	WW_MIXR	5	18.01596351	13.83615085	1.302093603
11/06/25	1	WW_MIXR	6	11.40250855	10.65019506	1.070638471
11/06/25	1	NW_NOI	1	34.32155074	26.95708713	1.273192114
11/06/25	1	NW_NOI	2	0	0	0
11/06/25	1	NW_NOI	3	38.88255416	21.33940182	1.822101411
11/06/25	1	NW_NOI	4	10.94640821	13.05591678	0.838425091
11/06/25	1	NW_NOI	5	0	0	0
11/06/25	1	NW_NOI	6	0	0	0
11/06/25	1	NW_MIX1	1	20.63854048	14.473342	1.425969239
11/06/25	1	NW_MIX1	2	0	0	0
11/06/25	1	NW_MIX1	3	55.64424173	52.34070221	1.063116072
11/06/25	1	NW_MIX1	4	0	0	0
11/06/25	1	NW_MIX1	5	41.04903079	26.82704811	1.530135952
11/06/25	1	NW_MIX1	6	11.40250855	7.490247074	1.522314076
11/06/25	1	NW_MIXR	1	8.665906499	6.566970091	1.319620217
11/06/25	1	NW_MIXR	2	0	0	0
11/06/25	1	NW_MIXR	3	9.692132269	7.256176853	1.335707834
11/06/25	1	NW_MIXR	4	0	0	0
11/06/25	1	NW_MIXR	5	20.98061574	19.18075423	1.093836848
11/06/25	1	NW_MIXR	6	12.54275941	11.52145644	1.088643565
12/06/25	2	WW_NOI	1	67.38882554	66.81404421	1.008602702
12/06/25	2	WW_NOI	2	90.07981756	86.6449935	1.039642499
12/06/25	2	WW_NOI	3	85.0627138	75.90377113	1.120665186
12/06/25	2	WW_NOI	4	70.23945268	61.26137841	1.146553579
12/06/25	2	WW_NOI	5	105.0171038	103.9921977	1.009855606
12/06/25	2	WW_NOI	6	90.76396807	91.1313394	0.995968771
12/06/25	2	WW_MIX1	1	88.71151653	79.88296489	1.110518577
12/06/25	2	WW_MIX1	2	70.46750285	62.15864759	1.133671751
12/06/25	2	WW_MIX1	3	54.50399088	52.2496749	1.043145072
12/06/25	2	WW_MIX1	4	89.85176739	78.38751625	1.146250981
12/06/25	2	WW_MIX1	5	90.42189282	83.53706112	1.082416494
