Treatment	root_FW	shoot_FW	root_DW	shoot_DW	harvested_root_length	harvested_root_area
WW_NOI	0.282	0.5386	0.018	0.0608	593.537415	793.7572254
WW_NOI	0.563	0.62	0.029	0.068	904.5918367	1124.479769
WW_NOI	0.526	0.484	0.0284	0.056	773.6394558	984.132948
WW_NOI	0.315	0.528	0.023	0.056	507.8231293	712.6011561
WW_NOI	0.382	0.486	0.032	0.058	620.4081633	826.6473988
WW_NOI	0.555	0.575	0.04	0.066	680	1200.780347
WW_MIX1	0.416	0.627	0.026	0.07	716.8367347	982.4566474
WW_MIX1	0.481	0.514	0.043	0.059	758.5034014	1022.919075
WW_MIX1	0.394	0.566	0.032	0.075	843.1632653	1146.16763
WW_MIX1	0.4736	0.57	0.0352	0.08	895.7482993	1280.346821
WW_MIX1	0.43852	0.571	0.039	0.07	886.3945578	1130.924855
WW_MIX1	0.428	0.572	0.036	0.063	958.3333333	1314.190751
WW_MIXR	0.637	0.429	0.046	0.0665	1062.07483	1469.354528
WW_MIXR	0.528	0.405	0.045	0.062	1018.877551	1408.506744
WW_MIXR	0.569	0.465	0.047	0.07	1087.92517	1465.433526
WW_MIXR	0.834	0.553	0.064	0.063	1058.163265	1477.919075
WW_MIXR	0.804	0.603	0.051	0.072	1040.136054	1464.710983
WW_MIXR	0.45	0.447	0.0575	0.052	958.3333333	1282.890173
NW_NOI	0.688	0.412	0.062	0.06	1072.108844	1359.017341
NW_NOI	0.876	0.33	0.061	0.047	912.414966	1310.578035
NW_NOI	0.69	0.399	0.0615	0.05	1006.802721	1354.942197
NW_NOI	0.7656	0.336	0.0725	0.051	1154.251701	1331.464355
NW_NOI	0.977	0.387	0.077	0.049	969.7278912	1263.121387
NW_NOI	0.597	0.447	0.068	0.058	1023.061225	1309.547206
NW_MIX1	0.765	0.403	0.057	0.048	953.0612245	1324.797688
NW_MIX1	0.75	0.379	0.068	0.051	835.7142857	1029.046243
NW_MIX1	0.943	0.364	0.06	0.047	1012.755102	1507.861272
NW_MIX1	0.971	0.363	0.0636	0.051	891.8367347	1249.682081
NW_MIX1	1.014	0.436	0.063	0.058	1106.462585	1176.921966
NW_MIX1	0.816	0.375	0.07	0.056	959.9659864	1378.771677
NW_MIXR	0.45	0.283	0.0476	0.036	745.7482993	1008.930636
NW_MIXR	0.616	0.4	0.043	0.054	766.6666667	1085.578035
NW_MIXR	0.6412	0.3415	0.035	0.032	803.4863946	1107.381503
NW_MIXR	0.798	0.417	0.063	0.059	758.5884354	1191.387283
NW_MIXR	0.707	0.375	0.058	0.051	861.2244898	1197.369942
NW_MIXR	0.635	0.459	0.039	0.05	750.5102041	1053.641618
