date	n_day	regime	inoculant	treatment	shoot_side_area	shoot_height	shootA_rootA
11/06/25	1	WW	NOI	WW_NOI	0	0	0
11/06/25	1	WW	NOI	WW_NOI	0	0	0
11/06/25	1	WW	NOI	WW_NOI	0	0	0
11/06/25	1	WW	NOI	WW_NOI	0	0	0
11/06/25	1	WW	NOI	WW_NOI	0	0	0
11/06/25	1	WW	NOI	WW_NOI	0	0	0
11/06/25	1	WW	MIX1	WW_MIX1	0	0	0
11/06/25	1	WW	MIX1	WW_MIX1	0	0	0
11/06/25	1	WW	MIX1	WW_MIX1	0	0	0
11/06/25	1	WW	MIX1	WW_MIX1	0	0	0
11/06/25	1	WW	MIX1	WW_MIX1	0	0	0
11/06/25	1	WW	MIX1	WW_MIX1	0	0	0
11/06/25	1	WW	MIXR	WW_MIXR	0	0	0
11/06/25	1	WW	MIXR	WW_MIXR	0	0	0
11/06/25	1	WW	MIXR	WW_MIXR	0	0	0
11/06/25	1	WW	MIXR	WW_MIXR	0	0	0
11/06/25	1	WW	MIXR	WW_MIXR	0	0	0
11/06/25	1	WW	MIXR	WW_MIXR	0	0	0
11/06/25	1	NW	NOI	NW_NOI	0	0	0
11/06/25	1	NW	NOI	NW_NOI	0	0	0
11/06/25	1	NW	NOI	NW_NOI	0	0	0
11/06/25	1	NW	NOI	NW_NOI	0	0	0
11/06/25	1	NW	NOI	NW_NOI	0	0	0
11/06/25	1	NW	NOI	NW_NOI	0	0	0
11/06/25	1	NW	MIX1	NW_MIX1	0	0	0
11/06/25	1	NW	MIX1	NW_MIX1	0	0	0
11/06/25	1	NW	MIX1	NW_MIX1	0	0	0
11/06/25	1	NW	MIX1	NW_MIX1	0	0	0
11/06/25	1	NW	MIX1	NW_MIX1	0	0	0
11/06/25	1	NW	MIX1	NW_MIX1	0	0	0
11/06/25	1	NW	MIXR	NW_MIXR	0	0	0
11/06/25	1	NW	MIXR	NW_MIXR	0	0	0
11/06/25	1	NW	MIXR	NW_MIXR	0	0	0
11/06/25	1	NW	MIXR	NW_MIXR	0	0	0
11/06/25	1	NW	MIXR	NW_MIXR	0	0	0
11/06/25	1	NW	MIXR	NW_MIXR	0	0	0
12/06/25	2	WW	NOI	WW_NOI	0	0	0
12/06/25	2	WW	NOI	WW_NOI	0	0	0
12/06/25	2	WW	NOI	WW_NOI	0	0	0
12/06/25	2	WW	NOI	WW_NOI	0	0	0
12/06/25	2	WW	NOI	WW_NOI	0	0	0
12/06/25	2	WW	NOI	WW_NOI	0	0	0
12/06/25	2	WW	MIX1	WW_MIX1	0	0	0
12/06/25	2	WW	MIX1	WW_MIX1	0	0	0
12/06/25	2	WW	MIX1	WW_MIX1	0	0	0
12/06/25	2	WW	MIX1	WW_MIX1	0	0	0
12/06/25	2	WW	MIX1	WW_MIX1	0	0	0
12/06/25	2	WW	MIX1	WW_MIX1	0	0	0
12/06/25	2	WW	MIXR	WW_MIXR	0	0	0
12/06/25	2	WW	MIXR	WW_MIXR	0	0	0
12/06/25	2	WW	MIXR	WW_MIXR	0	0	0
12/06/25	2	WW	MIXR	WW_MIXR	0	0	0
12/06/25	2	WW	MIXR	WW_MIXR	0	0	0
12/06/25	2	WW	MIXR	WW_MIXR	0	0	0
12/06/25	2	NW	NOI	NW_NOI	0	0	0
12/06/25	2	NW	NOI	NW_NOI	0	0	0
