Treatment	fTRL	fTRA	fRAE	fSSA	fSH	fRSA	RER	RAER	SER	SSAER	rFW	sFW	rDW	sDW
WW_NOI	405.5872292	337.0351105	1.203397559	904.2407602	266.2244842	0.372727182	0.292640133	0.289183302	0.450429901	0.298970619	0.282	0.5386	0.018	0.0608
WW_NOI	584.2645382	465.526658	1.255061398	1431.291425	192.1857222	0.325249387	0.381425647	0.351970177	0.433168126	0.24869531	0.563	0.62	0.029	0.068
WW_NOI	621.5507412	481.5344603	1.290771051	1245.235049	294.5047407	0.38670166	0.363468464	0.322275825	0.41590635	0.349245928	0.526	0.484	0.0284	0.056
WW_NOI	687.5712657	569.336801	1.207670512	1449.366763	206.0633018	0.392817619	0.382714624	0.364601868	0.385001392	0.343277056	0.315	0.528	0.023	0.056
WW_NOI	581.299886	495.2795839	1.173680291	1038.959568	273.5758506	0.476707274	0.37231431	0.360369456	0.442713327	0.346261492	0.382	0.486	0.032	0.058
WW_NOI	906.3854048	826.2678804	1.096963135	1434.202435	263.4489682	0.576116635	0.358512636	0.337680126	0.41385736	0.295986183	0.555	0.575	0.04	0.066
WW_MIX1	723.3751425	617.0351105	1.172340326	1644.065904	276.6514223	0.375310448	0.452457906	0.442127483	0.454241796	0.41682027	0.416	0.627	0.026	0.07
WW_MIX1	803.6488027	664.2652796	1.209831113	1260.873262	244.6204685	0.526829539	0.439037153	0.428645648	0.415419231	0.435157543	0.481	0.514	0.043	0.059
WW_MIX1	714.3671608	642.8218466	1.111298822	1325.41192	319.7094255	0.484997786	0.426763013	0.445691924	0.47754616	0.385009688	0.394	0.566	0.032	0.075
WW_MIX1	723.0330673	612.9388817	1.179616906	1710.454971	249.8714445	0.358348447	0.398547881	0.396116032	0.453661894	0.453494815	0.4736	0.57	0.0352	0.08
WW_MIX1	572.7480046	455.4356307	1.257582776	1509.753283	329.1611825	0.301662289	0.348751039	0.421895477	0.510407324	0.38605146	0.43852	0.571	0.039	0.07
WW_MIX1	712.4287343	589.0507152	1.209452286	1430.501616	330.8114891	0.411779133	0.413780897	0.396896296	0.453329416	0.383967915	0.428	0.572	0.036	0.063
WW_MIXR	512.3147092	368.816645	1.389076974	1408.928554	237.1190742	0.261771006	0.243520485	0.328806375	0.420522377	0.387489493	0.637	0.429	0.046	0.0665
