date	n_day	regime	inoculant	treatment	FvFm	FvFo	PhiPSII
06/06/25	1	NW	MIX1	NW_MIX1	0.794514578	3.872958525	0.668739526
06/06/25	1	NW	MIX1	NW_MIX1	0.784913486	3.649291954	0.651416025
06/06/25	1	NW	MIX1	NW_MIX1	0.789752542	3.785739409	0.634943879
06/06/25	1	NW	MIX1	NW_MIX1	0.803186764	4.080959088	0.676017784
06/06/25	1	NW	MIX1	NW_MIX1	0.795443484	3.888624532	0.678784769
06/06/25	1	NW	MIX1	NW_MIX1	0.795390911	3.769329963	0.662582061
06/06/25	1	NW	MIX1	NW_MIX1	0.809719679	3.98479181	0.665590384
06/06/25	1	NW	MIX1	NW_MIX1	0.790205846	3.766577057	0.651655151
06/06/25	1	NW	MIXR	NW_MIXR	0.792346269	3.815709282	0.652784363
06/06/25	1	NW	MIXR	NW_MIXR	0.796698092	3.918793	0.651917421
06/06/25	1	NW	MIXR	NW_MIXR	0.793802408	3.849717148	0.669362288
06/06/25	1	NW	MIXR	NW_MIXR	0.787231782	3.699950075	0.639419256
06/06/25	1	NW	MIXR	NW_MIXR	0.777768093	3.499803891	0.644619409
06/06/25	1	NW	MIXR	NW_MIXR	0.772538424	3.396346927	0.651281303
06/06/25	1	NW	MIXR	NW_MIXR	0.802880423	4.073062829	0.660612465
06/06/25	1	NW	MIXR	NW_MIXR	0.770352407	3.354498064	0.6522784
06/06/25	1	NW	NOI	NW_NOI	0.793706692	3.847466997	0.651168594
06/06/25	1	NW	NOI	NW_NOI	0.780145369	3.558282911	0.620827367
06/06/25	1	NW	NOI	NW_NOI	0.767329343	3.29792055	0.640105441
06/06/25	1	NW	NOI	NW_NOI	0.779735885	3.540004169	0.653120822
06/06/25	1	NW	NOI	NW_NOI	0.793180182	3.835126594	0.661148682
06/06/25	1	NW	NOI	NW_NOI	0.774586316	3.43628791	0.645001003
06/06/25	1	NW	NOI	NW_NOI	0.784780992	3.646429737	0.644385733
06/06/25	1	NW	NOI	NW_NOI	0.767698172	3.30474442	0.620633636
06/06/25	1	WW	MIX1	WW_MIX1	0.786202024	3.677312764	0.620243754
06/06/25	1	WW	MIX1	WW_MIX1	0.787710143	3.710540648	0.642835622
06/06/25	1	WW	MIX1	WW_MIX1	0.804453117	4.113863149	0.661351107
06/06/25	1	WW	MIX1	WW_MIX1	0.793762779	3.848785275	0.666814566
06/06/25	1	WW	MIX1	WW_MIX1	0.77080558	3.363107973	0.653385069
06/06/25	1	WW	MIX1	WW_MIX1	0.795807799	3.897346696	0.644285775
06/06/25	1	WW	MIX1	WW_MIX1	0.775020103	3.444841575	0.624561835
06/06/25	1	WW	MIX1	WW_MIX1	0.770973196	3.366301163	0.635340688
06/06/25	1	WW	MIXR	WW_MIXR	0.79304981	3.8320806	0.652707125
06/06/25	1	WW	MIXR	WW_MIXR	0.797568246	3.939936449	0.658207035
06/06/25	1	WW	MIXR	WW_MIXR	0.803860801	4.098419911	0.687385049
06/06/25	1	WW	MIXR	WW_MIXR	0.770977656	3.366386196	0.662049507
06/06/25	1	WW	MIXR	WW_MIXR	0.794136305	3.874770172	0.620832025
06/06/25	1	WW	MIXR	WW_MIXR	0.789143038	3.742551483	0.653954134
06/06/25	1	WW	MIXR	WW_MIXR	0.790732307	3.778568475	0.63971786
06/06/25	1	WW	MIXR	WW_MIXR	0.813622277	4.365448092	0.621639318
06/06/25	1	WW	NOI	WW_NOI	0.779119247	3.527329731	0.63556967
06/06/25	1	WW	NOI	WW_NOI	0.799902954	3.99757502	0.676526457
06/06/25	1	WW	NOI	WW_NOI	0.778789345	3.520577902	0.645396073
06/06/25	1	WW	NOI	WW_NOI	0.774981537	3.444079781	0.67173844
06/06/25	1	WW	NOI	WW_NOI	0.770796345	3.362932165	0.642256647
06/06/25	1	WW	NOI	WW_NOI	0.790213243	3.766745119	0.693819546
06/06/25	1	WW	NOI	WW_NOI	0.771328987	3.373094716	0.633598951
06/06/25	1	WW	NOI	WW_NOI	0.80216298	4.054665692	0.65595277
07/06/25	2	NW	MIX1	NW_MIX1	0.8092921	4.243621261	0.624339204
07/06/25	2	NW	MIX1	NW_MIX1	0.817145165	4.468819033	0.660886282
07/06/25	2	NW	MIX1	NW_MIX1	0.819244854	4.532345948	0.607985478
07/06/25	2	NW	MIX1	NW_MIX1	0.821442798	4.600446178	0.662022454
07/06/25	2	NW	MIX1	NW_MIX1	0.811769281	4.312629115	0.661290136
07/06/25	2	NW	MIX1	NW_MIX1	0.803801487	4.096878579	0.649404843
07/06/25	2	NW	MIX1	NW_MIX1	0.810481015	4.276516241	0.672608895
07/06/25	2	NW	MIX1	NW_MIX1	0.821381107	4.598511905	0.620017342
07/06/25	2	NW	MIXR	NW_MIXR	0.815251537	4.412765722	0.664659974
07/06/25	2	NW	MIXR	NW_MIXR	0.815179932	4.410667853	0.653239923
07/06/25	2	NW	MIXR	NW_MIXR	0.811315621	4.301414555	0.662539763
07/06/25	2	NW	MIXR	NW_MIXR	0.815323141	4.414863591	0.664846506
07/06/25	2	NW	MIXR	NW_MIXR	0.813694445	4.367526487	0.657728551
07/06/25	2	NW	MIXR	NW_MIXR	0.813795479	4.37043889	0.672928471
07/06/25	2	NW	MIXR	NW_MIXR	0.811966689	4.31820661	0.662561203
07/06/25	2	NW	MIXR	NW_MIXR	0.80580587	4.149486233	0.649130831
07/06/25	2	NW	NOI	NW_NOI	0.815149124	4.409766094	0.658467283
07/06/25	2	NW	NOI	NW_NOI	0.802545634	4.064461318	0.628538985
07/06/25	2	NW	NOI	NW_NOI	0.802733826	4.069292817	0.670520492
07/06/25	2	NW	NOI	NW_NOI	0.81354236	4.36314843	0.636988806
07/06/25	2	NW	NOI	NW_NOI	0.819102623	4.527996128	0.641481
07/06/25	2	NW	NOI	NW_NOI	0.812769105	4.340998883	0.646727461
07/06/25	2	NW	NOI	NW_NOI	0.816897299	4.461415891	0.651581758
07/06/25	2	NW	NOI	NW_NOI	0.804538743	4.11610338	0.680702506
07/06/25	2	WW	MIX1	WW_MIX1	0.806790539	4.175729974	0.643416529
07/06/25	2	WW	MIX1	WW_MIX1	0.82054582	4.572453102	0.638405095
07/06/25	2	WW	MIX1	WW_MIX1	0.821578318	4.604699994	0.648101605
07/06/25	2	WW	MIX1	WW_MIX1	0.818947048	4.523246052	0.65384475
07/06/25	2	WW	MIX1	WW_MIX1	0.813031809	4.348503364	0.643742887
07/06/25	2	WW	MIX1	WW_MIX1	0.817268306	4.472504398	0.64376393
07/06/25	2	WW	MIX1	WW_MIX1	0.797507344	3.938450716	0.6688997
07/06/25	2	WW	MIX1	WW_MIX1	0.794295641	3.861345685	0.64887062
07/06/25	2	WW	MIXR	WW_MIXR	0.813101508	4.350497966	0.645988953
07/06/25	2	WW	MIXR	WW_MIXR	0.809457041	4.248160337	0.649452434
07/06/25	2	WW	MIXR	WW_MIXR	0.818974254	4.52407611	0.642525471
07/06/25	2	WW	MIXR	WW_MIXR	0.80621212	4.16028144	0.647269117
07/06/25	2	WW	MIXR	WW_MIXR	0.797289932	3.933154083	0.646319456
07/06/25	2	WW	MIXR	WW_MIXR	0.807968992	4.207492325	0.653604493
07/06/25	2	WW	MIXR	WW_MIXR	0.81305079	4.349046399	0.635641358
07/06/25	2	WW	MIXR	WW_MIXR	0.801666972	4.042024577	0.648762855
07/06/25	2	WW	NOI	WW_NOI	0.808964242	4.2346221	0.653108861
07/06/25	2	WW	NOI	WW_NOI	0.808072305	4.210295467	0.656675933
07/06/25	2	WW	NOI	WW_NOI	0.811470817	4.304218618	0.665959358
07/06/25	2	WW	NOI	WW_NOI	0.808196579	4.213671342	0.646213176
07/06/25	2	WW	NOI	WW_NOI	0.813008573	4.347838742	0.644069911
07/06/25	2	WW	NOI	WW_NOI	0.802347351	4.059380702	0.650592059
07/06/25	2	WW	NOI	WW_NOI	0.808054179	4.211485028	0.633985418
07/06/25	2	WW	NOI	WW_NOI	0.804319384	4.110368225	0.654131758
08/06/25	3	NW	MIX1	NW_MIX1	0.807847823	4.204502555	0.603869923
08/06/25	3	NW	MIX1	NW_MIX1	0.817299244	4.473434991	0.643225681
08/06/25	3	NW	MIX1	NW_MIX1	0.81461216	4.397467535	0.617620895
08/06/25	3	NW	MIX1	NW_MIX1	0.822159644	4.623112052	0.644058365
08/06/25	3	NW	MIX1	NW_MIX1	0.819436484	4.5482212	0.656765812
08/06/25	3	NW	MIX1	NW_MIX1	0.80802082	4.211415451	0.621606778
08/06/25	3	NW	MIX1	NW_MIX1	0.809956021	4.261980079	0.654931453
08/06/25	3	NW	MIX1	NW_MIX1	0.825246694	4.725153754	0.610316145
08/06/25	3	NW	MIXR	NW_MIXR	0.816309186	4.443930361	0.623497332
08/06/25	3	NW	MIXR	NW_MIXR	0.817190139	4.470164446	0.648124328
08/06/25	3	NW	MIXR	NW_MIXR	0.817683626	4.484970862	0.668176994
08/06/25	3	NW	MIXR	NW_MIXR	0.817509007	4.479722489	0.642319245
08/06/25	3	NW	MIXR	NW_MIXR	0.815628234	4.423823962	0.633593702
08/06/25	3	NW	MIXR	NW_MIXR	0.817878249	4.490832327	0.620120293
08/06/25	3	NW	MIXR	NW_MIXR	0.816099086	4.437710868	0.636968882
08/06/25	3	NW	MIXR	NW_MIXR	0.815610586	4.423304839	0.623210714
08/06/25	3	NW	NOI	NW_NOI	0.818122873	4.498217471	0.637211418
08/06/25	3	NW	NOI	NW_NOI	0.815876925	4.431149802	0.638529612
08/06/25	3	NW	NOI	NW_NOI	0.818923689	4.522533541	0.650073258
08/06/25	3	NW	NOI	NW_NOI	0.819460412	4.538951385	0.637118462
08/06/25	3	NW	NOI	NW_NOI	0.819188694	4.5306276	0.647126693
08/06/25	3	NW	NOI	NW_NOI	0.817502276	4.479520394	0.635403942
08/06/25	3	NW	NOI	NW_NOI	0.815193534	4.411066086	0.637707402
08/06/25	3	NW	NOI	NW_NOI	0.817019532	4.465064167	0.625066111
08/06/25	3	WW	MIX1	WW_MIX1	0.815822014	4.429530533	0.623067213
08/06/25	3	WW	MIX1	WW_MIX1	0.823007719	4.649963902	0.64179932
08/06/25	3	WW	MIX1	WW_MIX1	0.816276683	4.442967265	0.671249558
08/06/25	3	WW	MIX1	WW_MIX1	0.825518455	4.73126517	0.662024374
08/06/25	3	WW	MIX1	WW_MIX1	0.817041405	4.465717525	0.626284006
08/06/25	3	WW	MIX1	WW_MIX1	0.813785239	4.370143569	0.657397888
08/06/25	3	WW	MIX1	WW_MIX1	0.8171663	4.473903343	0.636345922
08/06/25	3	WW	MIX1	WW_MIX1	0.808712585	4.22773544	0.632629734
08/06/25	3	WW	MIXR	WW_MIXR	0.817616971	4.482966291	0.658171777
08/06/25	3	WW	MIXR	WW_MIXR	0.8066854	4.17291502	0.644351961
08/06/25	3	WW	MIXR	WW_MIXR	0.81890573	4.52198586	0.634294643
08/06/25	3	WW	MIXR	WW_MIXR	0.813037044	4.348653123	0.645353823
08/06/25	3	WW	MIXR	WW_MIXR	0.811737444	4.311730706	0.6307174
08/06/25	3	WW	MIXR	WW_MIXR	0.81583094	4.4297937	0.63898074
08/06/25	3	WW	MIXR	WW_MIXR	0.82395446	4.680348386	0.623926487
08/06/25	3	WW	MIXR	WW_MIXR	0.81237069	4.329657705	0.628323053
08/06/25	3	WW	NOI	WW_NOI	0.81532594	4.414945659	0.665698053
08/06/25	3	WW	NOI	WW_NOI	0.817757839	4.487204482	0.64118859
08/06/25	3	WW	NOI	WW_NOI	0.814314182	4.385440921	0.660332124
08/06/25	3	WW	NOI	WW_NOI	0.812780428	4.341321889	0.643200448
08/06/25	3	WW	NOI	WW_NOI	0.81683708	4.459620311	0.640465639
08/06/25	3	WW	NOI	WW_NOI	0.817555168	4.481108936	0.652144013
08/06/25	3	WW	NOI	WW_NOI	0.808221591	4.214351323	0.644000037
08/06/25	3	WW	NOI	WW_NOI	0.812972893	4.346818517	0.632149864
09/06/25	4	NW	MIX1	NW_MIX1	0.806403545	4.165383848	0.583400641
09/06/25	4	NW	MIX1	NW_MIX1	0.817453322	4.478050948	0.62556508
09/06/25	4	NW	MIX1	NW_MIX1	0.809979465	4.262589122	0.627256311
09/06/25	4	NW	MIX1	NW_MIX1	0.82287649	4.645777925	0.626094276
09/06/25	4	NW	MIX1	NW_MIX1	0.827103686	4.783813284	0.652241487
09/06/25	4	NW	MIX1	NW_MIX1	0.812240152	4.325952323	0.593808713
09/06/25	4	NW	MIX1	NW_MIX1	0.809431027	4.247443917	0.63725401
09/06/25	4	NW	MIX1	NW_MIX1	0.829112281	4.851795603	0.600614948
09/06/25	4	NW	MIXR	NW_MIXR	0.812277841	4.327021617	0.608681859
09/06/25	4	NW	MIXR	NW_MIXR	0.818230723	4.501479767	0.635211
09/06/25	4	NW	MIXR	NW_MIXR	0.820225354	4.562519649	0.641578512
09/06/25	4	NW	MIXR	NW_MIXR	0.826689794	4.770000652	0.619397425
09/06/25	4	NW	MIXR	NW_MIXR	0.815972777	4.433978654	0.637771029
09/06/25	4	NW	MIXR	NW_MIXR	0.821898001	4.614760114	0.622553455
09/06/25	4	NW	MIXR	NW_MIXR	0.818052241	4.496083096	0.631646233
09/06/25	4	NW	MIXR	NW_MIXR	0.822572342	4.636099878	0.637596996
09/06/25	4	NW	NOI	NW_NOI	0.814819155	4.400126563	0.627271761
09/06/25	4	NW	NOI	NW_NOI	0.823767983	4.67433784	0.626108704
09/06/25	4	NW	NOI	NW_NOI	0.809551145	4.25075354	0.630471149
09/06/25	4	NW	NOI	NW_NOI	0.823596996	4.668837718	0.624080963
09/06/25	4	NW	NOI	NW_NOI	0.826471792	4.762751844	0.626973388
09/06/25	4	NW	NOI	NW_NOI	0.828015398	4.81447402	0.634819626
09/06/25	4	NW	NOI	NW_NOI	0.815706078	4.426114906	0.614070826
09/06/25	4	NW	NOI	NW_NOI	0.809941443	4.261536313	0.642522996
09/06/25	4	WW	MIX1	WW_MIX1	0.823965732	4.680712113	0.62332919
