Treatment	fRAE	fSH	fRSA	RAER	SER	SSAER	rFW	sFW
WW_NOI	1.203397559	266.2244842	0.372727182	0.289183302	0.450429901	0.298970619	0.282	0.5386
WW_NOI	1.255061398	192.1857222	0.325249387	0.351970177	0.433168126	0.24869531	0.563	0.62
WW_NOI	1.290771051	294.5047407	0.38670166	0.322275825	0.41590635	0.349245928	0.526	0.484
WW_NOI	1.207670512	206.0633018	0.392817619	0.364601868	0.385001392	0.343277056	0.315	0.528
WW_NOI	1.173680291	273.5758506	0.476707274	0.360369456	0.442713327	0.346261492	0.382	0.486
WW_NOI	1.096963135	263.4489682	0.576116635	0.337680126	0.41385736	0.295986183	0.555	0.575
WW_MIX1	1.172340326	276.6514223	0.375310448	0.442127483	0.454241796	0.41682027	0.416	0.627
WW_MIX1	1.209831113	244.6204685	0.526829539	0.428645648	0.415419231	0.435157543	0.481	0.514
WW_MIX1	1.111298822	319.7094255	0.484997786	0.445691924	0.47754616	0.385009688	0.394	0.566
WW_MIX1	1.179616906	249.8714445	0.358348447	0.396116032	0.453661894	0.453494815	0.4736	0.57
WW_MIX1	1.257582776	329.1611825	0.301662289	0.421895477	0.510407324	0.38605146	0.43852	0.571
WW_MIX1	1.209452286	330.8114891	0.411779133	0.396896296	0.453329416	0.383967915	0.428	0.572
WW_MIXR	1.389076974	237.1190742	0.261771006	0.328806375	0.420522377	0.387489493	0.637	0.429
WW_MIXR	1.28848602	243.0451757	0.36351931	0.272109073	0.399189682	0.339144832	0.528	0.405
WW_MIXR	1.283565138	217.1653654	0.458296088	0.385503677	0.392516933	0.276425971	0.569	0.465
WW_MIXR	1.183020946	283.1776353	0.411951648	0.393674998	0.401764451	0.305103697	0.834	0.553
WW_MIXR	1.294183506	306.1319018	0.555704418	0.335291623	0.375769338	0.316975005	0.804	0.603
WW_MIXR	1.238484515	294.3547129	0.769437819	0.364483311	0.431973526	0.310830855	0.45	0.447
NW_NOI	1.089884874	225.7919688	0.983028138	0.630215813	0.348019052	0.213783911	0.688	0.412
NW_NOI	1.152199964	262.5488008	0.644015568	0.433189393	0.366684193	0.253143694	0.876	0.33
NW_NOI	1.205219213	310.1076408	0.783996474	0.459929444	0.386339034	0.249410086	0.69	0.399
NW_NOI	1.178687304	181.8337981	0.899292124	0.588259902	0.352055176	0.263995375	0.7656	0.336
NW_NOI	1.094319205	320.459565	1.039480062	0.563777266	0.365849133	0.229370451	0.977	0.387
NW_NOI	1.130188081	267.3496933	0.578530847	0.535074364	0.386570996	0.258949068	0.597	0.447
NW_MIX1	1.111370292	274.7760737	0.659308027	0.451306544	0.378846689	0.271508766	0.765	0.403
NW_MIX1	1.126031357	303.281372	0.943083181	0.549382633	0.411630532	0.262582786	0.75	0.379
NW_MIX1	1.113322838	271.5504742	0.805551769	0.637232884	0.406086661	0.269818653	0.943	0.364
NW_MIX1	1.121319371	255.3474624	0.734930003	0.470384686	0.382797761	0.264339334	0.971	0.363
NW_MIX1	1.08547518	254.0722253	0.99584629	0.657123579	0.387970495	0.255460943	1.014	0.436
NW_MIX1	1.120503958	266.6745678	0.904653068	0.594781536	0.337310179	0.263379546	0.816	0.375
NW_MIXR	1.197177613	346.4894032	0.436246511	0.534234918	0.417908948	0.245215667	0.45	0.283
NW_MIXR	1.136429536	219.4157836	0.924052978	0.550940268	0.378011629	0.269590132	0.616	0.4
NW_MIXR	1.181085756	284.97797	0.627149197	0.463854377	0.350207219	0.212987621	0.6412	0.3415
NW_MIXR	1.127829808	187.8349135	0.948056639	0.63037871	0.380911143	0.257527526	0.798	0.417
NW_MIXR	1.177815853	264.3491356	0.913334147	0.443334265	0.323694059	0.2574029	0.707	0.375
NW_MIXR	1.102052533	306.3569437	0.668393743	0.582666969	0.390065877	0.235257574	0.635	0.459
