regime	inoculant	Treatment	root_FW	shoot_FW	root_DW	shoot_DW	harvested_root_length	harvested_root_area	harvested_root_area_efficiency	harvested_root_to_shoot_area
NW	MIX1	NW_MIX1	0.396	0.302	0.067	0.078	979.5918367	1330.606936	0.736199256	1.044148377
NW	MIX1	NW_MIX1	0.274285714	0.327	0.053	0.097	975.6802721	1228.410405	0.794262462	0.910015938
NW	MIX1	NW_MIX1	0.226	0.32	0.054	0.083	817.1768707	999.6531792	0.817460383	0.643513635
NW	MIX1	NW_MIX1	0.482	0.316333333	0.078	0.086	977.6360544	1186.223507	0.795913984	1.123033464
NW	MIX1	NW_MIX1	0.221	0.353	0.044	0.088	840.3061224	1065.924855	0.788335236	0.794703676
NW	MIX1	NW_MIX1	0.202	0.2	0.041	0.077	904.7619048	1053.728324	0.7826407	0.546461852
NW	MIX1	NW_MIX1	0.193	0.257666667	0.034	0.078	828.7414966	958.034682	0.770860003	1.095670913
NW	MIX1	NW_MIX1	0.2	0.22	0.056	0.083857143	942.1768708	754.4508671	0.72833079	0.667239734
NW	MIXR	NW_MIXR	0.574	0.91	0.059	0.149	828.4013605	918.2369942	0.90216509	1.289726507
NW	MIXR	NW_MIXR	0.6	0.758	0.072	0.115	1096.768707	1369.566474	0.800814512	3.637018392
NW	MIXR	NW_MIXR	0.707	0.669	0.058	0.128	1212.07483	1533.092486	0.790607769	3.630712215
NW	MIXR	NW_MIXR	0.505	0.814	0.084	0.134	981.462585	1248.265896	0.851489801	2.852485705
NW	MIXR	NW_MIXR	0.627	0.655	0.024	0.107	1223.129252	1398.410405	0.874656859	1.440367983
NW	MIXR	NW_MIXR	0.553333333	0.748	0.044	0.109	686.0544218	890.9248555	0.832632314	1.861323375
NW	MIXR	NW_MIXR	0.582	0.934	0.059	0.144	1063.435374	1246.156069	0.853372543	1.448527943
NW	MIXR	NW_MIXR	0.573	0.696	0.077	0.109	1268.537415	1633.468208	0.877768817	1.011252632
NW	NOI	NW_NOI	0.285	0.268	0.035	0.075	958.5034014	1167.861272	0.771590799	1.644671293
NW	NOI	NW_NOI	0.253	0.296	0.035	0.088	649.829932	810.4913295	0.801772836	1.452467556
NW	NOI	NW_NOI	0.323	0.273	0.042	0.086	855.0453515	1204.566474	0.74654306	1.627784481
NW	NOI	NW_NOI	0.325	0.26	0.06	0.087	826.5873016	1304.971098	0.741408762	1.643588233
NW	NOI	NW_NOI	0.49	0.442	0.096	0.077	956.8027211	1272.890173	0.751677357	1.574974443
NW	NOI	NW_NOI	0.256	0.263	0.053	0.088	823.2993197	1098.468208	0.749497631	2.810971889
NW	NOI	NW_NOI	0.448	0.241	0.081	0.083	950.5102041	1153.121387	0.750587494	2.36489823
NW	NOI	NW_NOI	0.267	0.35	0.046	0.081	705.952381	759.9132948	0.763189477	2.640134567
WW	MIX1	WW_MIX1	0.969	1.782	0.073	0.212	1327.55102	1797.514451	0.738548176	0.847170834
WW	MIX1	WW_MIX1	2.022	2.289	0.164	0.253	1889.455782	2413.872832	0.782748684	0.74263333
WW	MIX1	WW_MIX1	1.87	2.999	0.145	0.339	2502.55102	3184.768786	0.785787349	0.948285841
WW	MIX1	WW_MIX1	1.113	3.129	0.086	0.337	1893.513119	2366.015689	0.844191856	0.814979229
WW	MIX1	WW_MIX1	0.893	2.26	0.048	0.262	1539.795918	1863.294798	0.826383415	0.819199566
WW	MIX1	WW_MIX1	1.509	3.16	0.094	0.315	2099.14966	2666.098266	0.787348946	0.81875542
WW	MIX1	WW_MIX1	0.653	2.404	0.06	0.271	1711.22449	1972.254335	0.867648994	0.639760339
WW	MIX1	WW_MIX1	1.632	2.186	0.102	0.246	2184.863946	2664.306358	0.820049819	0.889049275
WW	MIXR	WW_MIXR	1.57	2.389	0.11	0.294	1937.92517	2505.982659	0.773319465	0.528153167
WW	MIXR	WW_MIXR	0.785	1.555	0.052	0.192	1819.557823	2170.867052	0.838171007	0.534415799
WW	MIXR	WW_MIXR	1.283	2.662	0.078	0.28	1654.081633	2160.346821	0.765655596	0.391652973
WW	MIXR	WW_MIXR	0.57	1.599	0.037	0.195	1337.07483	1670.895954	0.800214296	0.404146499
WW	MIXR	WW_MIXR	1.423	2.057	0.09	0.27	1561.734694	2103.901734	0.74230401	0.411618558
WW	MIXR	WW_MIXR	1.121	1.846	0.059	0.219	1496.598639	1881.734104	0.795329497	0.503146617
WW	MIXR	WW_MIXR	1.207	2.142	0.09	0.257	1829.761905	2369.971098	0.772060852	0.817069755
WW	MIXR	WW_MIXR	0.893	1.673	0.061	0.21	1707.142857	2340.231214	0.72947615	0.847916692
WW	NOI	WW_NOI	1.347	3.024	0.095	0.342	1819.557823	2251.791908	0.808048833	0.506258315
WW	NOI	WW_NOI	1.734	2.278	0.132	0.266	2004.761905	2460.17341	0.814886421	0.644078218
WW	NOI	WW_NOI	1.64	3.007	0.114	0.338	2232.482993	2788.063584	0.800728866	0.586252548
WW	NOI	WW_NOI	1.129	2.673	0.066	0.305	1717.176871	2167.312139	0.792307135	0.531720753
WW	NOI	WW_NOI	1.463	2.745	0.093	0.305	1981.122449	2607.774566	0.759698509	0.861117779
WW	NOI	WW_NOI	0.971	2.519	0.05	0.275	1729.931973	2097.283237	0.824844228	0.563346012
WW	NOI	WW_NOI	0.661	1.538	0.059	0.183	1894.922255	2381.39967	0.795717862	0.620991552
WW	NOI	WW_NOI	1.285	2.013	0.09	0.237	1779.421769	2297.398844	0.774537592	0.761456208
