Treatment	FvFm	FvFo	PhiPSII	fSSA	fSH	SER	SSAER	rFW	sFW	rDW	sDW	hTRL	hTRA	hRAE	hRSA
WW_NOI	0.809773295	4.256885469	0.648524913	4447.910956	417.5426479	0.676634034	0.249210552	1.347	3.024	0.095	0.342	1819.557823	2251.791908	0.808048833	0.506258315
WW_NOI	0.819763111	4.548253763	0.662763775	3819.681123	402.1712653	0.6491074	0.239335146	1.734	2.278	0.132	0.266	2004.761905	2460.17341	0.814886421	0.644078218
WW_NOI	0.811780984	4.312959451	0.645334549	4755.738106	413.6299323	0.699337748	0.267401555	1.64	3.007	0.114	0.338	2232.482993	2788.063584	0.800728866	0.586252548
WW_NOI	0.816014571	4.435213017	0.643875497	4076.034512	402.450745	0.691059603	0.236443327	1.129	2.673	0.066	0.305	1717.176871	2167.312139	0.792307135	0.531720753
WW_NOI	0.818207196	4.500767797	0.636453207	3028.35992	415.8657698	0.693607832	0.26066116	1.463	2.745	0.093	0.305	1981.122449	2607.774566	0.759698509	0.861117779
WW_NOI	0.819343142	4.535355866	0.637270816	3722.904204	398.2585497	0.684149151	0.26463441	0.971	2.519	0.05	0.275	1729.931973	2097.283237	0.824844228	0.563346012
WW_NOI	0.821190623	4.592547867	0.659794198	3834.834248	420.8964041	0.655643536	0.227754324	0.661	1.538	0.059	0.183	1894.922255	2381.39967	0.795717862	0.620991552
WW_NOI	0.810756945	4.284209768	0.660013021	3017.11224	335.0961411	0.695522603	0.250879644	1.285	2.013	0.09	0.237	1779.421769	2297.398844	0.774537592	0.761456208
WW_MIX1	0.816780835	4.457944309	0.651017129	4744.802861	421.7348432	0.674604089	0.216611861	0.969	1.782	0.073	0.212	1327.55102	1797.514451	0.738548176	0.847170834
WW_MIX1	0.816716211	4.456019903	0.656026658	4062.131129	406.9224199	0.712611575	0.243021185	2.022	2.289	0.164	0.253	1889.455782	2413.872832	0.782748684	0.74263333
WW_MIX1	0.817940353	4.492705359	0.64955675	5515.971969	410.2761761	0.707155197	0.290130073	1.87	2.999	0.145	0.339	2502.55102	3184.768786	0.785787349	0.948285841
WW_MIX1	0.807716797	4.200662283	0.654589049	4134.381856	395.1842732	0.687287648	0.255430396	1.113	3.129	0.086	0.337	1893.513119	2366.015689	0.844191856	0.814979229
WW_MIX1	0.818860615	4.520610558	0.646268302	5111.28979	404.4071027	0.68848258	0.277184303	0.893	2.26	0.048	0.262	1539.795918	1863.294798	0.826383415	0.819199566
WW_MIX1	0.817590079	4.482157971	0.658062746	3739.931943	406.0839809	0.688252232	0.275323429	1.509	3.16	0.094	0.315	2099.14966	2666.098266	0.787348946	0.81875542
WW_MIX1	0.815848332	4.432180816	0.655814084	2900.57377	360.5287924	0.705384394	0.249443277	0.653	2.404	0.06	0.271	1711.22449	1972.254335	0.867648994	0.639760339
WW_MIX1	0.815333431	4.41516533	0.665377671	2759.977761	406.0839809	0.699452923	0.260215412	1.632	2.186	0.102	0.246	2184.863946	2664.306358	0.820049819	0.889049275
WW_MIXR	0.814167987	4.381204161	0.658419542	3753.835326	418.3810869	0.647941261	0.221364555	1.57	2.389	0.11	0.294	1937.92517	2505.982659	0.773319465	0.528153167
WW_MIXR	0.819828985	4.550282325	0.652780166	3250.423505	416.1452495	0.631932047	0.209407864	0.785	1.555	0.052	0.192	1819.557823	2170.867052	0.838171007	0.534415799
WW_MIXR	0.817351492	4.474996808	0.656145068	3358.448105	413.6299323	0.688367406	0.220033468	1.283	2.662	0.078	0.28	1654.081633	2160.346821	0.765655596	0.391652973
WW_MIXR	0.816856662	4.460204079	0.660369939	2629.4578	340.4062551	0.656406565	0.21907117	0.57	1.599	0.037	0.195	1337.07483	1670.895954	0.800214296	0.404146499
WW_MIXR	0.803476129	4.088440378	0.647731303	2274.530987	386.2409233	0.660336885	0.204656402	1.423	2.057	0.09	0.27	1561.734694	2103.901734	0.74230401	0.411618558
WW_MIXR	0.808659981	4.226298229	0.653396588	3256.281672	338.4498973	0.663604953	0.229725096	1.121	1.846	0.059	0.219	1496.598639	1881.734104	0.795329497	0.503146617
WW_MIXR	0.809200776	4.241111452	0.645763677	3082.801819	420.6169244	0.66642672	0.218390235	1.207	2.142	0.09	0.257	1829.761905	2369.971098	0.772060852	0.817069755
WW_MIXR	0.825066688	4.716464109	0.650601803	2996.803927	417.5426479	0.669665995	0.207827737	0.893	1.673	0.061	0.21	1707.142857	2340.231214	0.72947615	0.847916692
NW_NOI	0.794055202	3.855670106	0.605207822	710.0879533	347.6727269	0.52615894	0.081691588	0.285	0.268	0.035	0.075	958.5034014	1167.861272	0.771590799	1.644671293
NW_NOI	0.797848119	3.946775635	0.5990973	558.0099371	257.400789	0.511618198	0.082202905	0.253	0.296	0.035	0.088	649.829932	810.4913295	0.801772836	1.452467556
NW_NOI	0.800230797	4.005776583	0.581395333	740.0036596	403.8481434	0.506449755	0.08141238	0.323	0.273	0.042	0.086	855.0453515	1204.566474	0.74654306	1.627784481
NW_NOI	0.797378039	3.936074108	0.595233485	793.9769052	411.6735745	0.525568673	0.089518032	0.325	0.26	0.06	0.087	826.5873016	1304.971098	0.741408762	1.643588233
NW_NOI	0.794829277	3.890574647	0.620470802	276.7398106	206.5354865	0.478548805	0.075814983	0.49	0.442	0.096	0.077	956.8027211	1272.890173	0.751677357	1.574974443
NW_NOI	0.783651933	3.622181354	0.628876783	390.7787955	415.8657698	0.523178808	0.076722706	0.256	0.263	0.053	0.088	823.2993197	1098.468208	0.749497631	2.810971889
NW_NOI	0.789770592	3.756708437	0.586302327	283.066631	161.5392574	0.547667722	0.078460225	0.448	0.241	0.081	0.083	950.5102041	1153.121387	0.750587494	2.36489823
NW_NOI	0.811065306	4.292834149	0.646233297	287.8312735	208.2123646	0.609789807	0.086006229	0.267	0.35	0.046	0.081	705.952381	759.9132948	0.763189477	2.640134567
NW_MIX1	0.809180061	4.252371568	0.656980872	711.9625667	321.960596	0.513043478	0.083090091	0.396	0.302	0.067	0.078	979.5918367	1330.606936	0.736199256	1.044148377
NW_MIX1	0.809180061	4.252371568	0.613989589	376.5629769	377.5770531	0.532018428	0.080461164	0.274285714	0.327	0.053	0.097	975.6802721	1228.410405	0.794262462	0.910015938
NW_MIX1	0.818235748	4.501631854	0.536479146	422.2566797	353.2623206	0.457112007	0.064335439	0.226	0.32	0.054	0.083	817.1768707	999.6531792	0.817460383	0.643513635
