Treatment	FvFm	PhiPSII	fSH	rDW	sDW	hRAE	hRSA
WW_NOI	0.809773295	0.648524913	417.5426479	0.095	0.342	0.808048833	0.506258315
WW_NOI	0.819763111	0.662763775	402.1712653	0.132	0.266	0.814886421	0.644078218
WW_NOI	0.811780984	0.645334549	413.6299323	0.114	0.338	0.800728866	0.586252548
WW_NOI	0.816014571	0.643875497	402.450745	0.066	0.305	0.792307135	0.531720753
WW_NOI	0.818207196	0.636453207	415.8657698	0.093	0.305	0.759698509	0.861117779
WW_NOI	0.819343142	0.637270816	398.2585497	0.05	0.275	0.824844228	0.563346012
WW_NOI	0.821190623	0.659794198	420.8964041	0.059	0.183	0.795717862	0.620991552
WW_NOI	0.810756945	0.660013021	335.0961411	0.09	0.237	0.774537592	0.761456208
WW_MIX1	0.816780835	0.651017129	421.7348432	0.073	0.212	0.738548176	0.847170834
WW_MIX1	0.816716211	0.656026658	406.9224199	0.164	0.253	0.782748684	0.74263333
WW_MIX1	0.817940353	0.64955675	410.2761761	0.145	0.339	0.785787349	0.948285841
WW_MIX1	0.807716797	0.654589049	395.1842732	0.086	0.337	0.844191856	0.814979229
WW_MIX1	0.818860615	0.646268302	404.4071027	0.048	0.262	0.826383415	0.819199566
WW_MIX1	0.817590079	0.658062746	406.0839809	0.094	0.315	0.787348946	0.81875542
WW_MIX1	0.815848332	0.655814084	360.5287924	0.06	0.271	0.867648994	0.639760339
WW_MIX1	0.815333431	0.665377671	406.0839809	0.102	0.246	0.820049819	0.889049275
WW_MIXR	0.814167987	0.658419542	418.3810869	0.11	0.294	0.773319465	0.528153167
WW_MIXR	0.819828985	0.652780166	416.1452495	0.052	0.192	0.838171007	0.534415799
WW_MIXR	0.817351492	0.656145068	413.6299323	0.078	0.28	0.765655596	0.391652973
WW_MIXR	0.816856662	0.660369939	340.4062551	0.037	0.195	0.800214296	0.404146499
WW_MIXR	0.803476129	0.647731303	386.2409233	0.09	0.27	0.74230401	0.411618558
WW_MIXR	0.808659981	0.653396588	338.4498973	0.059	0.219	0.795329497	0.503146617
WW_MIXR	0.809200776	0.645763677	420.6169244	0.09	0.257	0.772060852	0.817069755
WW_MIXR	0.825066688	0.650601803	417.5426479	0.061	0.21	0.72947615	0.847916692
NW_NOI	0.794055202	0.605207822	347.6727269	0.035	0.075	0.771590799	1.644671293
NW_NOI	0.797848119	0.5990973	257.400789	0.035	0.088	0.801772836	1.452467556
NW_NOI	0.800230797	0.581395333	403.8481434	0.042	0.086	0.74654306	1.627784481
NW_NOI	0.797378039	0.595233485	411.6735745	0.06	0.087	0.741408762	1.643588233
NW_NOI	0.794829277	0.620470802	206.5354865	0.096	0.077	0.751677357	1.574974443
NW_NOI	0.783651933	0.628876783	415.8657698	0.053	0.088	0.749497631	2.810971889
NW_NOI	0.789770592	0.586302327	161.5392574	0.081	0.083	0.750587494	2.36489823
NW_NOI	0.811065306	0.646233297	208.2123646	0.046	0.081	0.763189477	2.640134567
NW_MIX1	0.809180061	0.656980872	321.960596	0.067	0.078	0.736199256	1.044148377
NW_MIX1	0.809180061	0.613989589	377.5770531	0.053	0.097	0.794262462	0.910015938
NW_MIX1	0.818235748	0.536479146	353.2623206	0.054	0.083	0.817460383	0.643513635
NW_MIX1	0.800124374	0.64850875	49.46790407	0.078	0.086	0.795913984	1.123033464
NW_MIX1	0.773041951	0.577157362	129.6785734	0.044	0.088	0.788335236	0.794703676
NW_MIX1	0.785815151	0.603126808	420.0579651	0.041	0.077	0.7826407	0.546461852
NW_MIX1	0.801858088	0.656215065	392.3894763	0.034	0.078	0.770860003	1.095670913
NW_MIX1	0.782545415	0.576007997	289.5409526	0.056	0.083857143	0.72833079	0.667239734
NW_MIXR	0.811010802	0.651842745	335.0961411	0.059	0.149	0.90216509	1.289726507
NW_MIXR	0.815989556	0.651308322	327.5501896	0.072	0.115	0.800814512	3.637018392
NW_MIXR	0.81384708	0.650228758	388.1972811	0.058	0.128	0.790607769	3.630712215
NW_MIXR	0.81517339	0.660666283	377.2975734	0.084	0.134	0.851489801	2.852485705
NW_MIXR	0.809906963	0.628700324	333.6987427	0.024	0.107	0.874656859	1.440367983
NW_MIXR	0.816795621	0.641875921	346.2753285	0.044	0.109	0.832632314	1.861323375
NW_MIXR	0.812597809	0.643792589	336.2140599	0.059	0.144	0.853372543	1.448527943
NW_MIXR	0.81545542	0.632938881	337.3319786	0.077	0.109	0.877768817	1.011252632
