date	n_day	regime	inoculant	treatment	sample	shoot_side_area	shoot_height
06/06/25	1	NW	MIX1	NW_MIX1	1	50.92699874	48.62946502
06/06/25	1	NW	MIX1	NW_MIX1	2	50.38023648	45.55518849
06/06/25	1	NW	MIX1	NW_MIX1	3	71.31342001	52.54218059
06/06/25	1	NW	MIX1	NW_MIX1	4	87.32574323	60.36761174
06/06/25	1	NW	MIX1	NW_MIX1	5	35.1490022	34.65548082
06/06/25	1	NW	MIX1	NW_MIX1	6	53.73891891	44.71674944
06/06/25	1	NW	MIX1	NW_MIX1	7	47.56831631	46.95258691
06/06/25	1	NW	MIX1	NW_MIX1	8	62.17467944	34.9349605
07/06/25	2	NW	MIX1	NW_MIX1	1	94.82419704	69.31096163
07/06/25	2	NW	MIX1	NW_MIX1	2	109.7429957	68.47252258
07/06/25	2	NW	MIX1	NW_MIX1	3	110.7584114	78.81327089
07/06/25	2	NW	MIX1	NW_MIX1	4	73.10992457	61.48553048
07/06/25	2	NW	MIX1	NW_MIX1	5	131.4572682	80.76962868
07/06/25	2	NW	MIX1	NW_MIX1	6	81.23324952	87.47714109
07/06/25	2	NW	MIX1	NW_MIX1	7	59.20654148	35.77339955
07/06/25	2	NW	MIX1	NW_MIX1	8	137.7840886	88.59505983
08/06/25	3	NW	MIX1	NW_MIX1	1	146.5322847	113.7482314
08/06/25	3	NW	MIX1	NW_MIX1	2	187.5394539	126.0453375
08/06/25	3	NW	MIX1	NW_MIX1	3	152.234234	101.4511253
08/06/25	3	NW	MIX1	NW_MIX1	4	175.1982487	108.7175971
08/06/25	3	NW	MIX1	NW_MIX1	5	168.0122305	97.25893003
08/06/25	3	NW	MIX1	NW_MIX1	6	134.1910795	114.8661501
08/06/25	3	NW	MIX1	NW_MIX1	7	22.26103472	16.20982167
08/06/25	3	NW	MIX1	NW_MIX1	8	170.7460418	110.6739549
09/06/25	4	NW	MIX1	NW_MIX1	1	186.758365	161.5392574
09/06/25	4	NW	MIX1	NW_MIX1	2	259.7120718	137.7834842
09/06/25	4	NW	MIX1	NW_MIX1	3	186.6802561	134.7092077
09/06/25	4	NW	MIX1	NW_MIX1	4	186.758365	118.499386
09/06/25	4	NW	MIX1	NW_MIX1	5	208.0039841	119.3378251
09/06/25	4	NW	MIX1	NW_MIX1	6	28.04109286	19.84305756
09/06/25	4	NW	MIX1	NW_MIX1	7	238.7788883	127.1632562
09/06/25	4	NW	MIX1	NW_MIX1	8	158.092401	101.730605
10/06/25	5	NW	MIX1	NW_MIX1	1	209.1756175	172.438965
10/06/25	5	NW	MIX1	NW_MIX1	2	264.8672588	143.6525576
10/06/25	5	NW	MIX1	NW_MIX1	3	228.1560787	149.2421513
10/06/25	5	NW	MIX1	NW_MIX1	4	193.7100565	155.3907043
10/06/25	5	NW	MIX1	NW_MIX1	5	266.0388922	164.0545745
10/06/25	5	NW	MIX1	NW_MIX1	6	51.3956521	31.02224492
